date,pm10,co,no,no2,nox,pm25,avgT,humid,pressure-monthly,windDir,windSpd
1/1/2018,65.29166667,1.33,74.2,45.4,119.5,,27.1,70,1009.4,100,9
1/2/2018,77.04166667,1.35,73,51.3,124.2,,27.5,67,1009.4,120,4
1/3/2018,96.70833333,1.73,98.5,58,156.5,,28.2,66,1009.4,60,4
1/4/2018,115.125,1.76,92.4,62.7,155.2,,29.3,64,1009.4,330,6
1/5/2018,116.625,1.35,51.1,60.9,111.9,,30.4,63,1009.4,                 ,
1/6/2018,118.9583333,0.88,8.2,40.7,48.9,,29.8,70,1009.4,120,2
1/7/2018,52.20833333,0.55,9.4,17.9,27.3,,29.2,78,1009.4,140,2
1/8/2018,51.33333333,0.57,17.5,20.2,37.7,,29.8,77,1009.4,140,3
1/9/2018,64.29166667,0.6,14.9,26.2,41.1,,30.7,75,1009.4,140,6
1/10/2018,79.625,1.64,78.3,34.4,112.7,,26.6,88,1009.4,120,4
1/11/2018,109.1666667,1.89,108.5,48.2,156.7,,25.6,74,1009.4,120,5
1/12/2018,108.0416667,1.51,89,55.9,145,,25,65,1009.4,120,8
1/13/2018,106.9166667,1.2,70.2,57.7,127.9,,24,65,1009.4,330,6
1/14/2018,104.4583333,1.2,62.3,58,120.3,,25.2,63,1009.4,320,5
1/15/2018,125.375,1.7,100.8,65.7,166.5,,25.9,64,1009.4,300,6
1/16/2018,154.5416667,1.79,91.1,72.3,163.4,,27.6,68,1009.4,330,7
1/17/2018,218.5,2.53,131,90.8,221.8,,28.5,69,1009.4,300,5
1/18/2018,182.375,1.96,105.4,72,177.5,,29.2,63,1009.4,310,6
1/19/2018,,2.4,153.1,77.7,230.7,,29.3,65,1009.4,100,4
1/20/2018,,1.98,138.1,64.1,202.2,,29,64,1009.4,80,6
1/21/2018,,1.71,71.1,65.8,137,,29.2,67,1009.4,70,4
1/22/2018,154.5714286,1.7,53.3,60.6,113.9,,29.6,69,1009.4,330,4
1/23/2018,141.1666667,1.4,33.6,52.6,86.2,,29.7,74,1009.4,120,6
1/24/2018,135.375,1.27,27.3,40.1,67.4,,28.9,79,1009.4,120,4
1/25/2018,68.75,1.01,25.9,25.9,51.8,,29.2,81,1009.4,270,4
1/26/2018,40.83333333,0.71,13.1,21.5,34.6,,29.8,80,1009.4,120,5
1/27/2018,38.54166667,0.66,13.2,19.7,32.9,,29.7,78,1009.4,150,6
1/28/2018,37.79166667,0.58,8.6,16.1,24.7,,29.4,78,1009.4,130,7
1/29/2018,41.16666667,0.69,13.1,18,31.1,,30,80,1009.4,150,4
1/30/2018,40.33333333,0.67,13.9,17.5,31.4,,30.2,81,1009.4,120,3
1/31/2018,46.125,1.06,39.9,23.5,63.4,,29.4,88,1009.4,110,6
2/1/2018,95.29166667,1.88,87.3,45.1,132.3,,28.3,77,1011.42,90,6
2/2/2018,122.0416667,2.17,108.5,58.3,166.7,,26.5,72,1011.42,100,7
2/3/2018,116.0416667,1.69,80.2,54.2,134.4,,25.4,66,1011.42,70,10
2/4/2018,128.375,1.76,88.5,59.9,148.4,,,59,1011.42,90,10
2/5/2018,139.2083333,2.05,107.2,65.8,173,,,60,1011.42,90,10
2/6/2018,125.0833333,1.82,93.4,65.2,158.7,,,62,1011.42,90,7
2/7/2018,164.5,1.76,71.9,63.7,135.6,,,61,1011.42,110,6
2/8/2018,168.7916667,1.61,54.4,45,99.4,,,73,1011.42,120,5
2/9/2018,94.59090909,1.15,17.3,32.6,49.9,,,77,1011.42,120,3
2/10/2018,116,1.1,22.8,33.2,56,,,73,1011.42,70,7
2/11/2018,103.4583333,0.97,10.3,30.9,41.2,,,71,1011.42,60,10
2/12/2018,150.5,1.99,119.1,58.5,177.6,,,64,1011.42,80,12
2/13/2018,133.1666667,2.16,122.5,77.5,200,,,68,1011.42,120,4
2/14/2018,166.2083333,1.96,85.9,82.6,168.5,,,66,1011.42,120,6
2/15/2018,132.75,1.34,16,43.6,59.5,,,70,1011.42,120,4
2/16/2018,108.9166667,1.08,7.2,32.7,39.8,,,78,1011.42,120,6
2/17/2018,95.16666667,0.99,7.4,24.9,32.3,,,78,1011.42,80,8
2/18/2018,79.83333333,0.97,8.3,24.8,33.1,,,73,1011.42,70,12
2/19/2018,68.875,0.96,10.2,25.4,35.5,,,78,1011.42,110,8
2/20/2018,36.17391304,0.75,14.9,21.5,36.3,,,78,1011.42,110,6
2/21/2018,45.875,0.75,12.8,22.3,35.1,,,78,1011.42,270,4
2/22/2018,54.625,0.79,12.7,24.1,36.9,,,78,1011.42,150,4
2/23/2018,99.875,1.72,98.9,50.7,149.6,,,83,1011.42,90,6
2/24/2018,103.2083333,1.47,62.1,51.9,114,,,81,1011.42,70,8
2/25/2018,84.04166667,1.15,35.5,46,81.5,,,75,1011.42,80,5
2/26/2018,97.125,1.54,68.5,54.8,123.3,,,74,1011.42,120,5
2/27/2018,83.29166667,1.45,60,41.3,101.4,,,84,1011.42,310,7
2/28/2018,96.25,1.37,56.3,41.2,97.5,,,77,1011.42,290,5
3/1/2018,58.75,0.81,8.3,21.1,29.4,,,80,1009.24,120,6
3/2/2018,53.58333333,0.83,10.6,22,32.5,,,75,1009.24,70,7
3/3/2018,38.75,0.74,8.8,18.7,27.4,,,75,1009.24,100,6
3/4/2018,32.79166667,0.69,9.6,16.2,25.8,,,74,1009.24,110,6
3/5/2018,37,0.85,22.4,21.3,43.7,,,77,1009.24,300,6
3/6/2018,42.83333333,0.83,13.5,24.6,38.1,,,78,1009.24,120,8
3/7/2018,43.08333333,0.92,25,24.7,49.7,,,77,1009.24,150,6
3/8/2018,67.20833333,1.33,69.4,34.6,104,,,77,1009.24,240,6
3/9/2018,96.54166667,1.73,98.2,42.5,140.7,,,88,1009.24,120,8
3/10/2018,130.6666667,1.96,117,64.4,181.3,,,72,1009.24,300,6
3/11/2018,157.7916667,2.01,103.4,79.3,182.7,,,66,1009.24,100,7
3/12/2018,189.7916667,2.17,98,62.7,160.7,,,75,1009.24,130,5
3/13/2018,91.20833333,1.13,11.2,30.6,41.7,,,74,1009.24,160,8
3/14/2018,69.29166667,0.87,5.5,20.8,26.3,,,75,1009.24,180,10
3/15/2018,59.58333333,0.83,6,20.5,26.5,,,77,1009.24,180,8
3/16/2018,54.375,0.96,10.3,21.5,31.7,,,78,1009.24,130,7
3/17/2018,45.5,0.97,19.2,19.7,38.9,,,78,1009.24,130,6
3/18/2018,32.79166667,,6.1,16.4,22.5,,30.5,74,1009.24,170,10
3/19/2018,37.26315789,,9.9,18.5,28.4,,30.9,74,1009.24,200,10
3/20/2018,50.375,,12.5,23.1,35.6,,31.9,75,1009.24,130,6
3/21/2018,70.20833333,,52.4,34.2,86.5,,31,76,1009.24,340,7
3/22/2018,92.95454545,1.02,66.3,48.8,115.1,,30,78,1009.24,120,7
3/23/2018,112.625,1,77.8,55,132.8,,30,70,1009.24,110,12
3/24/2018,121.2916667,0.73,53.4,48.3,101.8,,30.4,69,1009.24,150,10
3/25/2018,88.83333333,0.15,10.6,23.8,34.4,,30.3,74,1009.24,180,8
3/26/2018,74.54166667,0.04,7.5,24.2,31.7,,31.4,72,1009.24,120,8
3/27/2018,98.875,0.34,24.1,36.5,60.7,,29.2,81,1009.24,90,6
3/28/2018,71.08333333,0.13,9.5,22.8,32.4,,30.9,76,1009.24,270,8
3/29/2018,63.34782609,0.1,8.2,20.7,28.9,,30.5,81,1009.24,270,8
3/30/2018,75.16666667,0.14,9.9,21.9,31.8,,31,79,1009.24,130,7
3/31/2018,89.79166667,0.45,34.4,30.7,65,,30.5,81,1009.24,140,5
4/1/2018,103.25,0.48,30.8,33.6,64.4,,29.2,85,1008.67,100,6
4/2/2018,107.75,0.74,48.5,39.3,87.8,,29.9,54,1008.67,120,8
4/3/2018,118.9090909,0.89,54.5,45.6,100.1,,29.7,82,1008.67,300,7
4/4/2018,67.83333333,0.16,8.1,22.1,30.2,,31.2,84,1008.67,90,8
4/5/2018,78.125,0.21,13.3,25.7,39,,30.7,78,1008.67,120,7
4/6/2018,102,0.52,35,30.9,65.9,,30.8,76,1008.67,120,6
4/7/2018,66.5,0.69,45.7,31,76.7,,25.7,82,1008.67,120,10
4/8/2018,75.16666667,0.66,59.9,51.8,111.7,,26.9,73,1008.67,110,7
4/9/2018,125.9166667,1.2,97,71.5,168.5,,29,61,1008.67,120,8
4/10/2018,133.375,1.06,75.4,57.6,133,,30.8,62,1008.67,130,7
4/11/2018,68.04166667,0.3,6.2,22.8,28.9,,31.2,70,1008.67,60,6
4/12/2018,54.75,0.24,5.9,14.4,20.3,,32,72,1008.67,270,6
4/13/2018,44.875,0.16,4.3,11.9,16.2,,31.6,75,1008.67,270,7
4/14/2018,43.08333333,0.13,4.5,12.1,16.6,,32,77,1008.67,120,6
4/15/2018,43.41666667,0.24,9.9,14,23.9,,32,75,1008.67,130,8
4/16/2018,61.08333333,0.28,28,25.9,53.9,,32.3,75,1008.67,240,7
4/17/2018,61.875,0.49,48,29.3,77.4,,29.3,90,1008.67,90,9
4/18/2018,84.75,0.47,45,35.1,80.2,,28.3,78,1008.67,160,10
4/19/2018,49.25,0.15,6,22.4,28.3,,30,75,1008.67,170,10
4/20/2018,51.33333333,0.16,11,17.9,28.9,,30.7,76,1008.67,200,8
4/21/2018,48.08333333,0.14,7.8,17.4,25.1,,31.7,75,1008.67,200,12
4/22/2018,42.79166667,0.09,5,13.5,18.5,,31.9,73,1008.67,170,8
4/23/2018,58.66666667,0.33,6.5,21.2,27.7,,32.6,74,1008.67,130,8
4/24/2018,62.33333333,0.7,10.1,17.9,28.1,,32.2,74,1008.67,150,7
4/25/2018,66.33333333,0.8,16,23.5,39.5,,31.7,71,1008.67,190,10
4/26/2018,61.29166667,0.97,35,27.9,62.9,,31.5,78,1008.67,200,12
4/27/2018,70.08333333,1.49,76.7,43.5,120.2,,30,81,1008.67,210,12
4/28/2018,62.16666667,1.3,77.7,34.4,112.1,,25.7,97,1008.67,170,8
4/29/2018,77.33333333,1.13,55.6,27.6,83.2,,28.5,86,1008.67,130,8
4/30/2018,60.375,1.3,75.1,25.4,100.5,,27.4,88,1008.67,200,10
5/1/2018,44.375,1.1,46.1,21.4,67.5,,28.4,75,1007.93,180,10
5/2/2018,54.54166667,1.12,53.7,22.3,76,,28.4,80,1007.93,120,6
5/3/2018,62.05263158,1.35,72.9,28.5,101.4,,29.2,80,1007.93,100,7
5/4/2018,73.83333333,1.15,61,32.8,93.8,,31,77,1007.93,120,6
5/5/2018,54.66666667,0.96,53.1,23.4,76.6,,30.4,75,1007.93,210,6
5/6/2018,36.66666667,0.63,19.8,18.1,38,,30.8,77,1007.93,300,7
5/7/2018,48.08695652,0.71,19.8,22.1,41.9,,30.5,82,1007.93,270,8
5/8/2018,60.70833333,0.92,40.1,25.8,65.9,,31.9,80,1007.93,240,6
5/9/2018,51.54166667,0.75,29.9,20.7,50.7,,32.3,79,1007.93,130,5
5/10/2018,63.08333333,1.04,62.2,26.4,88.6,,32.2,75,1007.93,120,7
5/11/2018,92.875,1.33,95.8,39.2,135,,30.7,79,1007.93,290,9
5/12/2018,87.83333333,1.03,60.1,32.2,92.2,,30.2,80,1007.93,120,5
5/13/2018,68.70833333,0.82,37.8,28,65.8,,31.4,73,1007.93,130,6
5/14/2018,88.14285714,1.15,77.4,39.1,116.5,,31.1,78,1007.93,270,8
5/15/2018,92.58333333,0.94,69,39.4,108.5,,30.3,82,1007.93,120,6
5/16/2018,55.79166667,0.44,23.2,21.5,44.7,,32.4,72,1007.93,150,8
5/17/2018,39.33333333,0.38,13.7,18.5,32.2,,32.9,70,1007.93,130,7
5/18/2018,58.125,0.6,44.5,25.9,70.4,,31.8,77,1007.93,110,5
5/19/2018,68.79166667,0.57,43,24.9,67.9,,30.9,74,1007.93,140,6
5/20/2018,69.41666667,0.65,38.9,29,67.9,,32.5,74,1007.93,120,7
5/21/2018,75.66666667,0.95,77.9,35.1,113,,31.7,79,1007.93,130,6
5/22/2018,107.6666667,1.27,1.27,39,141.5,,29.1,87,1007.93,120,6
5/23/2018,91.40909091,0.95,67.2,31,98.2,,30.7,80,1007.93,330,8
5/24/2018,46.63636364,0.49,13.7,16.4,30,,29.2,81,1007.93,120,8
5/25/2018,55.20833333,0.67,46.5,21.8,68.3,,30.2,80,1007.93,120,6
5/26/2018,53.29166667,0.67,61.5,18.9,80.4,,31.1,81,1007.93,130,6
5/27/2018,61.20833333,0.64,58.6,15.8,74.4,,31.5,78,1007.93,90,7
5/28/2018,73.58333333,0.8,56.7,28.2,84.9,,31.7,82,1007.93,120,6
5/29/2018,47.41666667,0.51,37.4,14.8,52.2,,30.4,80,1007.93,150,7
5/30/2018,53.20833333,0.72,60.1,18.9,79.1,,30.8,78,1007.93,140,8
5/31/2018,66.16666667,0.73,56.8,26.6,83.5,,30.7,81,1007.93,330,6
6/1/2018,56.52380952,1.07,34.1,18.9,53,,30.5,78,1006.33,300,7
6/2/2018,53.16666667,1.04,29,20.6,49.5,,31.6,75,1006.33,180,15
6/3/2018,41.5,0.62,13.8,12.7,26.4,,32.1,74,1006.33,120,8
6/4/2018,45.30434783,0.7,25.5,12.2,37.7,,32.2,67,1006.33,280,7
6/5/2018,43.625,0.67,19.6,3.9,22.4,,31.8,71,1006.33,160,6
6/6/2018,46.54166667,0.83,23.9,9.7,33.4,,31.4,81,1006.33,140,8
6/7/2018,37.66666667,0.41,20.5,20.9,41.4,,30.4,79,1006.33,120,6
6/8/2018,39.875,0.37,41.3,32.9,74.3,,30.5,77,1006.33,120,7
6/9/2018,36.95833333,0.36,39.7,18.8,58.5,,29.8,83,1006.33,130,8
6/10/2018,39.625,0.34,12.4,8.1,20.4,,30.5,83,1006.33,150,8
6/11/2018,38.83333333,0.3,9.5,11,20.5,,29.8,78,1006.33,140,9
6/12/2018,20.5,0.36,10,15.1,25,,31.3,73,1006.33,160,7
6/13/2018,37.54166667,0.46,11.7,21,32.6,,31.6,74,1006.33,160,6
6/14/2018,43.33333333,0.89,14.1,16.6,30.7,,31.3,74,1006.33,140,8
6/15/2018,43.08333333,1,19,17.3,36.3,,31.7,78,1006.33,280,8
6/16/2018,48.54166667,0.94,13.1,14.6,27.7,,30.4,83,1006.33,150,7
6/17/2018,40.83333333,0.89,5.1,18.4,23.5,,30.2,71,1006.33,290,7
6/18/2018,50.91666667,1.05,22,31.3,53.3,,30.5,76,1006.33,120,6
6/19/2018,62,0.97,18.1,26.4,44.6,,30.6,76,1006.33,170,6
6/20/2018,42.58333333,0.92,6.1,10.9,10.9,,31.5,74,1006.33,120,7
6/21/2018,22,0.61,19.5,13.2,,,31.4,76,1006.33,120,8
6/22/2018,,,,,,,30.9,74,1006.33,20,7
6/23/2018,,,,,,,32.3,76,1006.33,120,6
6/24/2018,,,,,,,31.3,72,1006.33,140,7
6/25/2018,,,,,,,30,73,1006.33,300,8
6/26/2018,,,,,,,29.8,80,1006.33,120,6
